"Source","Reference","Year","Note_confidence","Comment"
"Plant_186","Kazphosphate LLC 2006",2006,"Low: (1) data is weekly relevant (2003-2012), (2) value is taken from simular beneficiation process","Table 20 Benefication for Karatau carbonate phosphorites (Kok-Jon, Gimmelfarbskoe, Geres deposits)"
"Plant_187","Kazphosphate LLC 2006",2006,"Low: set to lowest among ore, PR, and mineral recovery","Calculated from mineral recovery; same data source assigned"
"Plant_188","Kazphosphate LLC 2006",2006,"Low: (1) data is weekly relevant (2003-2012), (2) value is taken from simular beneficiation process","Table 20 Benefication for Karatau carbonate phosphorites (Kok-Jon, Gimmelfarbskoe, Geres deposits)"
"Plant_189","Kazphosphate LLC 2024",2024,"Medium: value is estimated from time series with high variability in the data","Average 21-25% (from Kok-Su, Kok-John, and Zhanatas deposits)"
"Plant_190","Kazphosphate LLC 2006",2006,"Medium: data is weekly relevant (2003-2012)","Table 24"
"Plant_191","Kazphosphate LLC 2024",2024,"Medium: set to lowest among ore, PR, and mineral recovery","Calculated from mineral recovery; same data source assigned"
"Plant_192","Kazphosphate LLC 2024",2024,"Medium: value is estimated from raw data with additional assumptions","Ore crushed or finely ground"
"Plant_193","Kazphosphate LLC 2006",2006,"Low: (1) data is weekly relevant (2003-2012), (2) value is taken from simular beneficiation process","Table 21 Benefication for Karatau siliceous-carbonate phosphorites (Sholaktau, Aksai and Shiilibulak deposits in Talas district)"
"Plant_194","Kazphosphate LLC 2006",2006,"Low: (1) data is weekly relevant (2003-2012), (2) value is taken from simular beneficiation process","Table 21 Benefication for Karatau siliceous-carbonate phosphorites (Sholaktau, Aksai and Shiilibulak deposits in Talas district)"
"Plant_195","Kazphosphate LLC 2006",2006,"Low: set to lowest among ore, PR, and mineral recovery","Calculated from mineral recovery; same data source assigned"
"Plant_196","Kazphosphate LLC 2006",2006,"Low: (1) data is weekly relevant (2003-2012), (2) value is taken from simular beneficiation process","Table 21 Benefication for Karatau siliceous-carbonate phosphorites (Sholaktau, Aksai and Shiilibulak deposits in Talas district)"
"Plant_197","Itafos 2023a",2023,"High: data is relevant for 2013-2022; company's data is used; either raw data or estimate from time series with low variance","Table 1-6 Product Grade Years 8-25"
"Plant_198","Itafos 2023a",2023,"High: data is relevant for 2013-2022; company's data is used; either raw data or estimate from time series with low variance","Section 1.8.4 Pilot Plant Results"
"Plant_199","Itafos 2023a",2023,"High: set to lowest among ore, PR, and mineral recovery","Calculated from mineral recovery; same data source assigned"
"Plant_200","Itafos 2023a",2023,"High: data is relevant for 2013-2022; company's data is used; either raw data or estimate from time series with low variance","Section 1.8.4 Pilot Plant Results"
"Plant_201","Israel Chemicals Ltd. 2023",2022,"High: data is relevant for 2013-2022; company's data is used; either raw data or estimate from time series with low variance","Production Table 1: %P2O5 before beneficiation"
"Plant_202","Israel Chemicals Ltd. 2023",2022,"High: data is relevant for 2013-2022; company's data is used; either raw data or estimate from time series with low variance","Production Table 1: %P2O5 after beneficiation"
"Plant_203","Israel Chemicals Ltd. 2023",2022,"High: data is relevant for 2013-2022; company's data is used; either raw data or estimate from time series with low variance","Ratio of 2.2 Mt PR capacity to 3.4 Mt mine capacity"
"Plant_204","Israel Chemicals Ltd. 2023",2022,"High: set to lowest among ore, PR, and recovery","Calculated from mass recovery; same data source assigned"
"Plant_205","Belger 2010",2010,"Medium: data is weekly relevant (2003-2012)","Assumed phase I with PR 1.5Mt (will decline to 10.7% P2O5 in phase 2)"
"Plant_206","Belger 2010",2010,"Medium: data is weekly relevant (2003-2012)","Tabela V.136 – Tabela com os critérios básicos de projeto: Recuperação de P2O5"
"Plant_207","de Barros 2005",2005,"Medium: set to lowest among ore, PR, and mineral recovery","Calculated from mineral recovery; same data source assigned"
"Plant_208","de Barros 2005",2005,"Medium: data is weekly relevant (2003-2012)","Tabela V.136 – Tabela com os critérios básicos de projeto: Recuperação de P2O5; assumed phase I with PR 1.5Mt (will be 0.628 in phase 2 from Barros 2005)"
"Mineral_1","de Jager 1989",NA,"Raw data is used","model: Fluorapatite, type: NA, value: NA. "
"Mineral_2","Puustinen & Kauppinen 1989",NA,"Raw data is used","model: Data, type: P2O5, value: 41.34. "
"Mineral_3","Piper 1991",NA,"Raw data for similar deposit is used or/and raw data is averaged","model: Fluorapatite, type: NA, value: NA. Average from known francolite shares in the ore samples"
"Mineral_4","Cheney et al. 1979",NA,"Raw data is used","model: Data, type: P2O5, value: 37.18. "
"Mineral_5","van Kauwenbergh 2006",NA,"Raw data is used","model: Francolite, type: a-cell, value: 9.351. "
"Mineral_6","Fredette 2006",NA,"Raw data is used","model: Fluorapatite, type: NA, value: NA. "
"Mineral_7","Sage 1991",NA,"Raw data is used","model: Fluorapatite, type: NA, value: NA. "
"Mineral_8","van Kauwenbergh 2006",NA,"Raw data is used","model: Francolite, type: a-cell, value: 9.327. "
"Mineral_9","Hughes and Gilkes 1986; Cathcart 1968",NA,"Raw data is used","model: Francolite, type: a-cell, value: 9.337. "
"Mineral_10","Hughes and Gilkes 1986; Cathcart 1968",NA,"Raw data is used","model: Francolite, type: a-cell, value: 9.337. "
"Mineral_11","Abed & Abdalla 1998",NA,"Raw data is used","model: Francolite, type: a-cell, value: 9.35. "
"Mineral_12","Abed & Abdalla 1998",NA,"Raw data is used","model: Francolite, type: a-cell, value: 9.334. 9.336 in Condron et al. 1994"
"Mineral_13","Abed & Abdalla 1998",NA,"Raw data is used","model: Francolite, type: a-cell, value: 9.332. "
"Mineral_14","Baioumy 2013",NA,"Raw data is used","model: Data, type: P2O5, value: 34.9. "
"Mineral_15","Baioumy 2013",NA,"Raw data is used","model: Data, type: P2O5, value: 34.7. "
"Mineral_16","Baioumy 2013",NA,"Raw data is used","model: Data, type: P2O5, value: 34.6. "
"Mineral_17","van Kauwenbergh 2006; Hughes and Gilkes 1986",NA,"Raw data is used","model: Francolite, type: a-cell, value: 9.326. 9.324 in Karpova et al. (2005)"
"Mineral_18","Flicoteaux & Lucas 1984",NA,"Raw data is used","model: Francolite, type: a-cell, value: 9.361. "
"Mineral_19","Flicoteaux & Lucas 1984; Flicoteaux & Hameh 1989",NA,"Raw data is used","model: Crandallite, type: NA, value: NA. "
"Mineral_20","McClellan & Notholt 1986",NA,"Raw data is used","model: Data, type: P2O5, value: 36.33. "
"Mineral_21","",NA,"Raw data for similar deposit is used or/and raw data is averaged","model: Francolite, type: a-cell, value: 9.361. Assumed same as for Taibe-Tobene"
"Mineral_22","Cook 1972",NA,"Raw data is used","model: Data, type: P2O5, value: 37.7. "
"Mineral_23","Axelrod et al. 1980",NA,"Raw data is used","model: Francolite, type: a-cell, value: 9.337. "
"Mineral_24","McClellan & Saavedra 1986",NA,"Raw data is used","model: Fluorapatite, type: NA, value: NA. "
"Mineral_25","Pereira 2003",NA,"Raw data for similar deposit is used or/and raw data is averaged","model: Data, type: P2O5, value: 39.6. average"
"Mineral_26","Born 1989",NA,"Raw data is used","model: Fluorapatite, type: NA, value: NA. "
"Mineral_27","de Toledo et al. 2004",NA,"Raw data for similar deposit is used or/and raw data is averaged","model: Data, type: P2O5, value: 40.31. average of mean for types 1 and 1a; Catalao I alkaline-carbonatitic complex, Goias"
"Mineral_28","Brigatti et al. 2004",NA,"Raw data for similar deposit is used or/and raw data is averaged","model: Data, type: P2O5, value: 42.35. average in Table 5 "
"Mineral_29","de Toledo et al. 2004",NA,"Raw data for similar deposit is used or/and raw data is averaged","model: Data, type: P2O5, value: 40.31. average of mean for types 1 and 1a; Catalao I alkaline-carbonatitic complex, Goias"
"Mineral_30","Luciano 2016",NA,"Raw data is used","model: Data, type: P2O5, value: 40.75. Tabela 2 - Análise química de apatita"
"Mineral_31","Cheney et al. 1979",NA,"Raw data is used","model: Francolite, type: a-cell, value: 9.336. 9.337 in Hughes and Gilkes (1986)"
"Mineral_32","van Kauwenbergh & McClellan 1990",NA,"Raw data is used","model: Francolite, type: a-cell, value: 9.324.  9.322 in Cheney et al. (1979)"
"Mineral_33","van Kauwenbergh et al. 1990",NA,"Raw data is used","model: Francolite, type: a-cell, value: 9.336. Estimated from  combined sample for Swift Creek mine and Suwannee River mine; 9.334 in Cheney et al. (1979)"
"Mineral_34","McClellan 1980",NA,"Raw data for similar deposit is used or/and raw data is averaged","model: Data, type: P2O5, value: 40.1. Table 4 Western U.S.A."
"Mineral_35","McClellan 1980",NA,"Raw data for similar deposit is used or/and raw data is averaged","model: Data, type: P2O5, value: 40.1. Table 4 Western U.S.A."
"Mineral_36","McClellan 1980",NA,"Raw data for similar deposit is used or/and raw data is averaged","model: Data, type: P2O5, value: 40.1. Table 4 Western U.S.A."
"Mineral_37","Golovanov 1976",NA,"Raw data is used","model: Data, type: P2O5, value: 40.36. Part 1, chapter 1, section Apatite; 39.75 in Karpova et al. (2005)"
"Mineral_38","Golovanov 1976",NA,"Raw data is used","model: Data, type: P2O5, value: 42.38. Table 44. Apatite-forsterite-magnetite ore"
"Mineral_39","van Kauwenbergh 2006",NA,"Raw data is used","model: Francolite, type: a-cell, value: 9.337. 9.335 in Karpova et al. (2005) and Condron et al. 1994"
"Mineral_40","Flicoteaux & Lucas 1984",NA,"Raw data is used","model: Francolite, type: a-cell, value: 9.336. 9.335 in Karpova et al. (2005)"
"Mineral_41","",NA,"Raw data for similar deposit is used or/and raw data is averaged","model: Francolite, type: a-cell, value: 9.336. Assumed same a-cell as for the Gantour francolite"
"Mineral_42","Condron et al. 1994",NA,"Raw data is used","model: Francolite, type: a-cell, value: 9.35. "
"Mineral_43","Ilyin 2008",NA,"Raw data is used","model: Fluorapatite, type: NA, value: NA. "
"Mineral_44","",NA,"Raw data for similar deposit is used or/and raw data is averaged","model: Francolite, type: a-cell, value: 9.332. Assumed same as Ruseifa - no Al Kora data (Abed 2013)"
"Mineral_45","",NA,"Raw data for similar deposit is used or/and raw data is averaged","model: Francolite, type: a-cell, value: 9.332. Assumed same as Ruseifa - no Al Kora data (Abed 2013)"
"Mineral_46","Ilyin 2008",NA,"Raw data for similar deposit is used or/and raw data is averaged","model: Data, type: P2O5, value: 38.5. Table 1"
"Mineral_47","Ilyin 2008",NA,"Raw data for similar deposit is used or/and raw data is averaged","model: Data, type: P2O5, value: 38.5. Table 1"
"Mineral_48","Ilyin 2008",NA,"Raw data for similar deposit is used or/and raw data is averaged","model: Data, type: P2O5, value: 38.5. Table 1"
"Mineral_49","Ilyin 2008",NA,"Raw data for similar deposit is used or/and raw data is averaged","model: Data, type: P2O5, value: 38.5. Table 1"
"Mineral_50","Itafos 2023",NA,"Raw data is used","model: Data, type: P2O5, value: 37.21. Section 13.3.4.3 EMPA"
"Mineral_51","Karpova et al. 2005",NA,"Raw data for similar deposit is used or/and raw data is averaged","model: Francolite, type: a-cell, value: 9.356. Table 13. Assumed as for Yunnan"
"Mineral_52","Barros et al 2008",NA,"Raw data is used","model: Data, type: P2O5, value: 40.91. Converted from primary apatites formula"
